award,date,with,amount,tag
"Best paper award, Information Systems Dvision",5/26/17,International Communication Association Annual Meeting,,award
"Best paper award, Communication Science and Biology Dvision",5/26/18,International Communication Association Annual Meeting,,award
"Best paper award, Communication Science and Biology Dvision",5/26/19,International Communication Association Annual Meeting,,award
Russell Ackoff Doctoral Student Fellowships,4/29/19,Wharton Risk Management and Decision Processes Center,"$3,000 ",grant
